function:(p1*x)^1/3,average_MSE:0.07513390737917766
name,p1,MSE
job_00001,4.415126950998927,0.1108413787855048
job_00011,3.973796061183065,0.004314716389068463
job_00014,5.762047039124551,0.16292005544785043
job_00015,4.776469505917518,0.08449172766010435
job_00026,5.474398527263014,0.13020546511421147
job_00027,5.573358570156032,0.12778922951863206
job_00029,4.292461232336153,0.003929154474709316
job_00031,4.596064844929747,0.05460272216656554
job_00038,5.216616872292079,0.006938022687270559
job_00039,4.578196417806692,0.09416377502466858
job_00040,4.5579704035802635,0.08074018775173139
job_00047,4.048005894887963,0.003809164115033276
job_00048,5.223336379849368,0.007296674411472936
job_00049,4.538195910721023,0.009387973583080139
job_00054,9.443565546951277,1.4626856696664594
job_00065,8.22702743235808,0.5276068944515384
job_00081,4.885790501395497,0.08064554161509224
job_00082,4.3413362773287245,0.009841055552783518
job_00086,4.251593248678122,0.00746957308743838
job_00087,9.393878273534368,1.345008881150949
job_00093,4.803334725774688,0.09460162297423996
job_00094,5.0175225554619045,0.12678451396573126
job_00096,4.051525029704097,0.0015130844245133672
job_00097,4.7866438769102135,0.04333341464548993
job_00098,4.355382671519253,0.0015199404305376945
job_00099,8.354761723887872,0.5480543863599806
job_00100,4.67276468970938,0.01217179068503307
job_00104,8.213465966440753,0.47340770865559
job_00111,3.992155899301079,0.0017863398605261023
job_00112,3.8700192145060193,0.002856855858843284
job_00113,4.2102394392519775,0.001903446445156326
job_00114,4.638825439365955,0.010889459013966688
job_00115,4.282610042118913,0.006037650519849755
job_00116,4.883689402844805,0.1256819750187348
job_00117,4.876637522902246,0.009396174388982758
job_00118,3.95729726611834,0.002594020053071981
job_00119,5.335397632562712,0.0058070473014085276
job_00120,18.9093473655561,1.1467378684591931
job_00122,18.909465515799635,1.1467957330373917
job_00127,4.054138062440791,0.0015349034006669137
job_00142,4.548944596430305,0.05860328341619059
job_00143,5.093441817618995,0.006522235924783885
job_00145,4.308025715799236,0.002702616201690929
job_00147,4.859721483640991,0.01586331359054854
job_00149,4.334389276209862,0.0022982296694238104
job_00152,4.720011224486624,0.05827612312231148
job_00153,9.795095370916169,0.8493291184284931
job_00154,4.164887857541754,0.0016603501624064723
job_00155,4.510992155175768,0.0022967921312145832
job_00156,4.1199209207862,0.002867089588993813
job_00157,4.575959163118572,0.0020810431427377056
job_00159,4.092853587908633,0.01310557676261664
job_00160,5.09024114677961,0.24317790078908613
job_00162,4.436675550672656,0.007263271442474794
job_00164,4.04211856570828,0.005648061325168844
job_00165,5.558283878796027,0.14520413592181583
job_00166,5.5533210619334525,0.145591655583629
job_00169,4.90461552520137,0.09977278301918609
job_00173,4.361712002589156,0.0020758420309284435
job_00176,4.378687145100806,0.006751515454640435
job_00177,3.936828625750586,0.004682219513212082
job_00178,4.034360530102585,0.001595630997924624
job_00179,4.372684026431692,0.004645404210136303
job_00180,5.505749734356569,0.00826543186837471
job_00182,5.53151274273005,0.009460912761662802
job_00186,8.729027279650724,0.544199783377854
job_00188,4.394367143407362,0.0029467654072386205
job_00191,4.837590926033119,0.00823765145088829
job_00193,8.631044997281863,0.7411239224596854
job_00194,8.354378733160818,0.5954490458115698
job_00195,5.166957007609493,0.013904285754639296
job_00197,5.008188213961754,0.07918869739575976
job_00205,4.379130862246984,0.0042043086419085406
job_00207,4.246200490916514,0.002466251120887889
job_00212,4.6221416836613685,0.036417953194822134
job_00214,5.300994050367228,0.0035287389071764477
job_00215,7.4584991420734905,0.4454041761606031
job_00216,4.273160162973436,0.002220633074712686
job_00217,5.563935915308769,0.015721851353932906
job_00218,4.802390720798344,0.08320169206980885
job_00220,5.142087220141646,0.06279697818923191
job_00221,4.706694123465329,0.0039307838176342045
job_00223,4.17130589699728,0.0015161403512610853
job_00224,4.540497223735694,0.0018311079812341254
job_00225,4.607716397177771,0.0030026276563118477
job_00226,4.847245041046717,0.005988461080919112
job_00228,4.346105519380942,0.020982605084918803
job_00229,4.776163740351714,0.007447292507469992
job_00230,4.944878901317059,0.10441090429397434
job_00231,4.619311826129345,0.005911131014742754
job_00234,4.545270444265891,0.007004673738807369
job_00235,4.443859649658256,0.00483685812491921
