function:(p1*x)^0.35076971,average_MSE:0.05433583355654934
name,p1,MSE
job_00001,2.997569954089223,0.05754914590641291
job_00011,2.710672147009272,0.010198168207646349
job_00014,3.861234245598341,0.0770584245989352
job_00015,3.23013958043918,0.03207445826751999
job_00026,3.6775924574445495,0.055576965030266705
job_00027,3.7407062908071165,0.053423514696724704
job_00029,2.916802163875917,0.011541887572187359
job_00031,3.113692359048788,0.018507587954903825
job_00038,3.510286206163688,0.026556560688441956
job_00039,3.102538830965212,0.04501178753556063
job_00040,3.0893984484104386,0.035992213753729456
job_00047,2.7587037013543108,0.011750783783894615
job_00048,3.5147261126906986,0.021764655762439196
job_00049,3.0754757598267948,0.009237245831776535
job_00054,6.182455020779042,1.1086136558436737
job_00065,5.419243411839049,0.32591848880947655
job_00081,3.3002923532219905,0.02971600532130183
job_00082,2.9486842410757044,0.004947616793998451
job_00086,2.8904669552312274,0.012696049709480559
job_00087,6.150981974720517,1.0091855341012341
job_00093,3.24748280636899,0.03900146867711654
job_00094,3.3853136378275153,0.05606931174963554
job_00096,2.760741955807991,0.018795135216575894
job_00097,3.2362064722038544,0.008269018832878287
job_00098,2.9571624548789965,0.018925540979451455
job_00099,5.499247161513815,0.34185884130301103
job_00100,3.16217213394565,0.008394028492220837
job_00104,5.410332842595263,0.2853012226305097
job_00111,2.7223382126084212,0.01679711698913025
job_00112,2.643190311413408,0.015184459612285926
job_00113,2.863583348935332,0.013235737526826212
job_00114,3.1404338411170194,0.0037167896953975398
job_00115,2.9104961588243135,0.011514214018556184
job_00116,3.2994251778650097,0.0570610944427962
job_00117,3.292917302090668,0.013687671691989742
job_00118,2.699855536163691,0.013165494001472216
job_00119,3.5863721449768797,0.019496703375082556
job_00120,11.951686812861103,0.7793348039629577
job_00122,11.95175824091255,0.7793795142668063
job_00127,2.762390511927367,0.020508905103988756
job_00142,3.083256858770444,0.02620918352782615
job_00143,3.4319515025021747,0.008502346317575044
job_00145,2.926708617348211,0.0157921473487935
job_00147,3.282513896386464,0.0034935888833332236
job_00149,2.9437274432914107,0.015391034127463893
job_00152,3.193142996826236,0.032383002172666285
job_00153,6.397994667059043,0.5757737600732651
job_00154,2.834187835757284,0.01580374725245149
job_00155,3.057486866767963,0.0197138254316334
job_00156,2.80516913867409,0.01428980384528039
job_00157,3.099361434812649,0.017993505989229677
job_00159,2.7881329704236144,0.00591315155129865
job_00160,3.4326358984182694,0.14580979147623066
job_00162,3.009491405391557,0.028602949212622027
job_00164,2.754997831654101,0.009429523312350961
job_00165,3.731190063605476,0.06745483566981304
job_00166,3.728024231383944,0.06788518429927634
job_00169,3.3126072981674506,0.04018785365767852
job_00173,2.961306550740969,0.017202662512002437
job_00176,2.972557281544071,0.01054922066152623
job_00177,2.686717574615137,0.009968958259053057
job_00178,2.7497914859502686,0.012410086835068806
job_00179,2.9686093918160026,0.01128566547482626
job_00180,3.6949320143654454,0.028313194777925422
job_00182,3.7114801925710386,0.025315877536273085
job_00186,5.732717596400442,0.3435900272575214
job_00188,2.9824359473784803,0.015695091388137794
job_00191,3.2680472772223896,0.005488972224159774
job_00193,5.6730125418836765,0.49627761400324916
job_00194,5.499318809489217,0.3794355550412493
job_00195,3.4791506920045108,0.010695813677570703
job_00197,3.378798538257168,0.02791041669313745
job_00205,2.9727097548003654,0.013076411645894737
job_00207,2.8867895132882384,0.015083977603304205
job_00212,3.1301628213148653,0.01196117637099389
job_00214,3.564144289832531,0.026081331128301164
job_00215,4.936561069331033,0.2712371215208047
job_00216,2.9041200393423825,0.01810901472853488
job_00217,3.732494646502707,0.019451416426545805
job_00218,3.246675528781489,0.035026111274811686
job_00220,3.464339021165018,0.019599930617278733
job_00221,3.1834679779615906,0.01944864369137913
job_00223,2.838205237913232,0.02078062815395174
job_00224,3.076436593534467,0.021247192730497695
job_00225,3.1199123007459,0.014727221441775849
job_00226,3.2741271559127396,0.00756556060671622
job_00228,2.9519192014893485,0.010127778198374517
job_00229,3.2285612988671417,0.006163897694647202
job_00230,3.3384792911813275,0.04322123818048129
job_00231,3.127479681033767,0.013665614940183682
job_00234,3.0798005059158418,0.01552623254351427
job_00235,3.014618764826694,0.007439622899917374
